date,holiday
20150102,2
20150224,2
20150322,1
20150101,2
20150329,1
20150112,0
20150122,0
20150124,1
20150119,0
20150222,2
20150221,2
20150206,0
20150214,1
20150131,1
20150207,1
20150315,1
20150108,0
20150312,0
20150305,0
20150111,1
20150113,0
20150307,1
20150103,2
20150227,0
20150319,0
20150406,2
20150212,0
20150127,0
20150218,2
20150317,0
20150311,0
20150318,0
20150405,2
20150208,1
20150302,0
20150410,0
20150316,0
20150301,1
20150219,2
20150216,0
20150106,0
20150202,0
20150120,0
20150201,1
20150130,0
20150105,0
20150320,0
20150115,0
20150225,0
20150321,1
20150121,0
20150223,2
20150331,0
20150114,0
20150117,1
20150403,0
20150110,1
20150107,0
20150330,0
20150116,0
20150213,0
20150215,0
20150203,0
20150125,1
20150404,2
20150104,0
20150314,1
20150220,2
20150205,0
20150306,0
20150327,0
20150409,0
20150226,0
20150129,0
20150109,0
20150128,0
20150401,0
20150304,0
20150310,0
20150210,0
20150118,1
20150204,0
20150308,1
20150313,0
20150123,0
20150217,0
20150309,0
20150325,0
20150402,0
20150211,0
20150328,1
20150408,0
20150323,0
20150209,0
20150303,0
20150228,0
20150324,0
20150407,0
20150326,0
20150126,0
20150504,0
20150512,0
20150423,0
20150519,0
20150603,0
20150529,0
20150412,1
20150413,0
20150427,0
20150717,0
20150613,1
20150522,0
20150629,0
20150526,0
20150414,0
20150527,0
20150719,1
20150530,1
20150502,2
20150626,0
20150428,0
20150521,0
20150624,0
20150429,0
20150528,0
20150422,0
20150627,1
20150517,1
20150419,1
20150610,0
20150614,1
20150424,0
20150709,0
20150710,0
20150417,0
20150702,0
20150617,0
20150415,0
20150707,0
20150509,1
20150606,1
20150514,0
20150703,0
20150704,1
20150515,0
20150621,2
20150525,0
20150620,2
20150604,0
20150615,0
20150430,0
20150616,0
20150418,1
20150630,0
20150507,0
20150622,2
20150520,0
20150609,0
20150625,0
20150508,0
20150524,1
20150612,0
20150718,1
20150426,1
20150516,1
20150619,0
20150420,0
20150711,1
20150623,0
20150510,1
20150605,0
20150513,0
20150712,1
20150716,0
20150607,1
20150506,0
20150705,1
20150618,0
20150503,2
20150715,0
20150706,0
20150611,0
20150505,0
20150421,0
20150628,1
20150411,1
20150701,0
20150608,0
20150602,0
20150416,0
20150714,0
20150511,0
20150708,0
20150501,2
20150713,0
20150601,0
20150425,1
20150523,1
20150518,0
20150531,1
20151025,1
20150907,0
20150913,1
20151003,2
20150721,0
20150929,0
20150924,0
20150815,1
20150911,0
20150825,0
20150901,0
20150917,0
20151021,0
20150916,0
20151006,2
20150808,1
20150809,1
20150912,1
20150722,0
20151015,0
20150801,1
20150821,0
20150728,0
20151001,2
20151022,0
20150905,2
20150915,0
20150830,1
20151002,2
20151011,1
20150816,1
20150807,0
20151016,0
20150903,2
20150914,0
20151014,0
20151004,2
20150829,1
20150720,0
20150930,0
20150806,0
20151024,1
20150902,0
20150817,0
20150730,0
20150921,0
20151009,0
20150810,0
20150920,1
20150724,0
20150805,0
20150824,0
20150822,1
20150922,0
20150909,0
20150731,0
20150812,0
20150727,0
20151012,0
20150831,0
20150928,0
20150729,0
20150906,0
20150919,1
20150814,0
20150726,1
20151005,2
20150827,0
20150823,1
20150923,0
20151017,1
20150904,2
20151027,0
20150927,2
20150820,0
20150804,0
20150918,0
20150826,0
20151018,1
20150819,0
20151026,0
20151023,0
20150802,1
20151020,0
20150723,0
20150818,0
20151013,0
20151010,0
20151007,2
20150811,0
20150925,0
20150926,1
20150803,0
20150908,0
20151008,0
20151019,0
20150725,1
20150813,0
20150828,0
20150910,0
20151103,0
20160104,0
20160103,2
20151106,0
20151127,0
20151219,1
20151128,1
20160121,0
20151110,0
20151109,0
20160124,1
20151107,1
20151031,1
20151210,0
20151115,1
20151123,0
20160204,0
20151126,0
20151229,0
20151118,0
20160128,0
20151101,1
20151028,0
20151224,0
20151207,0
20160118,0
20151102,0
20151112,0
20151216,0
20160108,0
20160127,0
20151120,0
20151121,1
20151203,0
20160201,0
20151108,1
20160126,0
20160110,1
20160114,0
20151105,0
20151030,0
20160102,2
20160105,0
20151220,1
20151221,0
20151029,0
20151201,0
20151125,0
20160202,0
20160117,1
20160109,1
20160119,0
20160129,0
20151122,1
20151213,1
20151215,0
20151223,0
20151209,0
